IC50,Cancer,Drug,REC_R_HSA_141409,REC_R_HSA_141409_EXP,GO_0030878_EXP,CLS_average_ploidy
3.64169,910691,1,0,0,0,2.2577327546
0.799783,930082,1,0,0,6.9632637271,2.0219194553
3.972882,910691,5,0,0,0,2.2577327546
3.534226,924187,5,1,4.7143561173,0,2.6533508085
0.830005,930082,5,0,0,6.9632637271,2.0219194553
3.539677,910691,6,0,0,0,2.2577327546
3.297155,924187,6,1,4.7143561173,0,2.6533508085
2.336064,930082,6,0,0,6.9632637271,2.0219194553
3.380056,910691,29,0,0,0,2.2577327546
0.8642,930082,29,0,0,6.9632637271,2.0219194553
2.420028,910691,30,0,0,0,2.2577327546
2.336796,930082,30,0,0,6.9632637271,2.0219194553
0.886639,910691,32,0,0,0,2.2577327546
2.583061,924187,32,1,4.7143561173,0,2.6533508085
-1.936889,930082,32,0,0,6.9632637271,2.0219194553
3.125124,910691,34,0,0,0,2.2577327546
4.187025,924187,34,1,4.7143561173,0,2.6533508085
2.336243,930082,34,0,0,6.9632637271,2.0219194553
2.334775,910691,35,0,0,0,2.2577327546
2.30349,924187,35,1,4.7143561173,0,2.6533508085
-0.686207,930082,35,0,0,6.9632637271,2.0219194553
3.110071,910691,37,0,0,0,2.2577327546
3.755156,924187,37,1,4.7143561173,0,2.6533508085
0.83085,930082,37,0,0,6.9632637271,2.0219194553
3.479497,910691,38,0,0,0,2.2577327546
1.699622,924187,38,1,4.7143561173,0,2.6533508085
0.562325,930082,38,0,0,6.9632637271,2.0219194553
1.648891,910691,51,0,0,0,2.2577327546
-2.316504,924187,51,1,4.7143561173,0,2.6533508085
-2.800373,930082,51,0,0,6.9632637271,2.0219194553
2.545646,910691,52,0,0,0,2.2577327546
3.190022,924187,52,1,4.7143561173,0,2.6533508085
0.618159,930082,52,0,0,6.9632637271,2.0219194553
-2.214281,910691,53,0,0,0,2.2577327546
-2.772782,924187,53,1,4.7143561173,0,2.6533508085
-3.189763,930082,53,0,0,6.9632637271,2.0219194553
3.760932,910691,54,0,0,0,2.2577327546
1.875022,924187,54,1,4.7143561173,0,2.6533508085
1.095107,930082,54,0,0,6.9632637271,2.0219194553
4.09921,910691,55,0,0,0,2.2577327546
0.330918,924187,55,1,4.7143561173,0,2.6533508085
-0.815802,930082,55,0,0,6.9632637271,2.0219194553
3.804584,910691,56,0,0,0,2.2577327546
-0.263269,924187,56,1,4.7143561173,0,2.6533508085
-0.11246,930082,56,0,0,6.9632637271,2.0219194553
5.121062,910691,59,0,0,0,2.2577327546
3.118655,924187,59,1,4.7143561173,0,2.6533508085
2.438339,930082,59,0,0,6.9632637271,2.0219194553
-2.503141,910691,60,0,0,0,2.2577327546
-1.01954,924187,60,1,4.7143561173,0,2.6533508085
-3.92596,930082,60,0,0,6.9632637271,2.0219194553
4.391354,910691,63,0,0,0,2.2577327546
4.350625,924187,63,1,4.7143561173,0,2.6533508085
1.615005,930082,63,0,0,6.9632637271,2.0219194553
2.588104,910691,64,0,0,0,2.2577327546
2.0881,924187,64,1,4.7143561173,0,2.6533508085
1.092362,930082,64,0,0,6.9632637271,2.0219194553
-2.851566,910691,83,0,0,0,2.2577327546
-4.692665,930082,83,0,0,6.9632637271,2.0219194553
-2.458176,910691,86,0,0,0,2.2577327546
-1.671104,924187,86,1,4.7143561173,0,2.6533508085
-3.697383,930082,86,0,0,6.9632637271,2.0219194553
-2.994851,910691,87,0,0,0,2.2577327546
-1.949234,924187,87,1,4.7143561173,0,2.6533508085
-4.44524,930082,87,0,0,6.9632637271,2.0219194553
4.511931,910691,91,0,0,0,2.2577327546
3.656679,930082,91,0,0,6.9632637271,2.0219194553
2.837127,910691,106,0,0,0,2.2577327546
2.175758,930082,106,0,0,6.9632637271,2.0219194553
3.656439,910691,110,0,0,0,2.2577327546
3.728418,930082,110,0,0,6.9632637271,2.0219194553
3.39061,910691,119,0,0,0,2.2577327546
0.433177,930082,119,0,0,6.9632637271,2.0219194553
2.402868,907000,152,0,0,0,2.0060246273
4.904537,907051,152,2,8.9210509035,0,3.4323658044
2.754186,908130,152,0,0,0,1.9667921549
1.31293,909735,152,0,0,14.449119202,1.9784991522
1.70786,910691,152,0,0,0,2.2577327546
2.747536,910781,152,1,4.8081334031,5.5312781323,2.1709069768
2.335331,924187,152,1,4.7143561173,0,2.6533508085
3.223073,930082,152,0,0,6.9632637271,2.0219194553
2.738897,1240127,152,2,8.7835949774,0,3.6815714119
2.578577,1240174,152,1,4.2286055327,0,1.931980783
-0.781285,907000,153,0,0,0,2.0060246273
0.525454,907051,153,2,8.9210509035,0,3.4323658044
0.196021,908130,153,0,0,0,1.9667921549
-0.534157,909735,153,0,0,14.449119202,1.9784991522
0.820125,910691,153,0,0,0,2.2577327546
-1.245863,910781,153,1,4.8081334031,5.5312781323,2.1709069768
0.94215,924187,153,1,4.7143561173,0,2.6533508085
-0.715216,930082,153,0,0,6.9632637271,2.0219194553
0.010892,1240127,153,2,8.7835949774,0,3.6815714119
-0.20126,1240174,153,1,4.2286055327,0,1.931980783
-0.948643,907000,155,0,0,0,2.0060246273
0.155268,907051,155,2,8.9210509035,0,3.4323658044
-2.292729,908130,155,0,0,0,1.9667921549
-0.255824,909735,155,0,0,14.449119202,1.9784991522
2.150359,910691,155,0,0,0,2.2577327546
-3.847162,910781,155,1,4.8081334031,5.5312781323,2.1709069768
1.285271,924187,155,1,4.7143561173,0,2.6533508085
-0.002869,930082,155,0,0,6.9632637271,2.0219194553
2.772595,1240127,155,2,8.7835949774,0,3.6815714119
0.212169,1240174,155,1,4.2286055327,0,1.931980783
-0.308018,907000,157,0,0,0,2.0060246273
0.073242,907051,157,2,8.9210509035,0,3.4323658044
-1.695922,908130,157,0,0,0,1.9667921549
-1.086057,909735,157,0,0,14.449119202,1.9784991522
-0.458178,910691,157,0,0,0,2.2577327546
-1.208971,910781,157,1,4.8081334031,5.5312781323,2.1709069768
0.656559,924187,157,1,4.7143561173,0,2.6533508085
-0.88111,930082,157,0,0,6.9632637271,2.0219194553
0.834827,1240127,157,2,8.7835949774,0,3.6815714119
-0.609028,1240174,157,1,4.2286055327,0,1.931980783
1.420533,907000,158,0,0,0,2.0060246273
2.070258,907051,158,2,8.9210509035,0,3.4323658044
0.863852,908130,158,0,0,0,1.9667921549
1.684674,909735,158,0,0,14.449119202,1.9784991522
1.907075,910691,158,0,0,0,2.2577327546
0.428094,910781,158,1,4.8081334031,5.5312781323,2.1709069768
3.098141,924187,158,1,4.7143561173,0,2.6533508085
1.211991,930082,158,0,0,6.9632637271,2.0219194553
3.31409,1240127,158,2,8.7835949774,0,3.6815714119
0.85319,1240174,158,1,4.2286055327,0,1.931980783
0.091934,907000,159,0,0,0,2.0060246273
0.676326,907051,159,2,8.9210509035,0,3.4323658044
-2.172091,908130,159,0,0,0,1.9667921549
-1.464684,909735,159,0,0,14.449119202,1.9784991522
2.254633,910691,159,0,0,0,2.2577327546
-1.887505,910781,159,1,4.8081334031,5.5312781323,2.1709069768
0.878653,924187,159,1,4.7143561173,0,2.6533508085
0.805648,930082,159,0,0,6.9632637271,2.0219194553
4.916962,1240127,159,2,8.7835949774,0,3.6815714119
-0.240878,1240174,159,1,4.2286055327,0,1.931980783
0.922248,907000,167,0,0,0,2.0060246273
1.368892,907051,167,2,8.9210509035,0,3.4323658044
1.368588,908130,167,0,0,0,1.9667921549
1.037964,909735,167,0,0,14.449119202,1.9784991522
1.935976,910691,167,0,0,0,2.2577327546
0.919349,910781,167,1,4.8081334031,5.5312781323,2.1709069768
3.147392,924187,167,1,4.7143561173,0,2.6533508085
2.760855,1240127,167,2,8.7835949774,0,3.6815714119
0.569869,1240174,167,1,4.2286055327,0,1.931980783
2.472582,907000,176,0,0,0,2.0060246273
3.565115,907051,176,2,8.9210509035,0,3.4323658044
2.892675,908130,176,0,0,0,1.9667921549
1.886942,909735,176,0,0,14.449119202,1.9784991522
3.37176,910691,176,0,0,0,2.2577327546
2.147424,910781,176,1,4.8081334031,5.5312781323,2.1709069768
3.886045,924187,176,1,4.7143561173,0,2.6533508085
6.884232,1240127,176,2,8.7835949774,0,3.6815714119
3.36906,1240174,176,1,4.2286055327,0,1.931980783
2.289682,907000,177,0,0,0,2.0060246273
2.818355,907051,177,2,8.9210509035,0,3.4323658044
2.148439,908130,177,0,0,0,1.9667921549
0.589609,909735,177,0,0,14.449119202,1.9784991522
2.232829,910691,177,0,0,0,2.2577327546
1.650705,910781,177,1,4.8081334031,5.5312781323,2.1709069768
4.619429,924187,177,1,4.7143561173,0,2.6533508085
4.040741,1240127,177,2,8.7835949774,0,3.6815714119
1.156456,1240174,177,1,4.2286055327,0,1.931980783
1.311162,907000,178,0,0,0,2.0060246273
1.797895,907051,178,2,8.9210509035,0,3.4323658044
2.635097,908130,178,0,0,0,1.9667921549
0.786836,909735,178,0,0,14.449119202,1.9784991522
1.470652,910691,178,0,0,0,2.2577327546
1.452467,910781,178,1,4.8081334031,5.5312781323,2.1709069768
3.655685,924187,178,1,4.7143561173,0,2.6533508085
2.694544,1240127,178,2,8.7835949774,0,3.6815714119
1.532931,1240174,178,1,4.2286055327,0,1.931980783
0.702868,907000,184,0,0,0,2.0060246273
2.340432,907051,184,2,8.9210509035,0,3.4323658044
0.655075,908130,184,0,0,0,1.9667921549
0.061859,909735,184,0,0,14.449119202,1.9784991522
1.796748,910691,184,0,0,0,2.2577327546
-0.447747,910781,184,1,4.8081334031,5.5312781323,2.1709069768
4.138304,924187,184,1,4.7143561173,0,2.6533508085
0.890459,1240127,184,2,8.7835949774,0,3.6815714119
2.583038,1240174,184,1,4.2286055327,0,1.931980783
3.0984,907000,185,0,0,0,2.0060246273
3.416401,907051,185,2,8.9210509035,0,3.4323658044
3.540308,908130,185,0,0,0,1.9667921549
2.650565,909735,185,0,0,14.449119202,1.9784991522
3.612579,910691,185,0,0,0,2.2577327546
2.211085,910781,185,1,4.8081334031,5.5312781323,2.1709069768
3.971674,924187,185,1,4.7143561173,0,2.6533508085
3.793136,1240127,185,2,8.7835949774,0,3.6815714119
3.534838,1240174,185,1,4.2286055327,0,1.931980783
3.861695,907000,192,0,0,0,2.0060246273
4.821468,907051,192,2,8.9210509035,0,3.4323658044
4.358116,908130,192,0,0,0,1.9667921549
4.287953,909735,192,0,0,14.449119202,1.9784991522
5.049776,910691,192,0,0,0,2.2577327546
4.556728,910781,192,1,4.8081334031,5.5312781323,2.1709069768
5.726534,924187,192,1,4.7143561173,0,2.6533508085
5.692936,1240127,192,2,8.7835949774,0,3.6815714119
4.734505,1240174,192,1,4.2286055327,0,1.931980783
5.218094,907000,193,0,0,0,2.0060246273
5.106778,907051,193,2,8.9210509035,0,3.4323658044
4.682674,908130,193,0,0,0,1.9667921549
4.249165,909735,193,0,0,14.449119202,1.9784991522
5.951341,910691,193,0,0,0,2.2577327546
5.416428,910781,193,1,4.8081334031,5.5312781323,2.1709069768
6.582327,924187,193,1,4.7143561173,0,2.6533508085
4.985726,930082,193,0,0,6.9632637271,2.0219194553
5.930567,1240127,193,2,8.7835949774,0,3.6815714119
5.402894,1240174,193,1,4.2286055327,0,1.931980783
0.496883,907000,199,0,0,0,2.0060246273
3.359222,907051,199,2,8.9210509035,0,3.4323658044
-0.461949,908130,199,0,0,0,1.9667921549
1.323233,909735,199,0,0,14.449119202,1.9784991522
4.323773,910691,199,0,0,0,2.2577327546
-2.826655,910781,199,1,4.8081334031,5.5312781323,2.1709069768
4.245558,924187,199,1,4.7143561173,0,2.6533508085
3.302885,1240127,199,2,8.7835949774,0,3.6815714119
2.255935,1240174,199,1,4.2286055327,0,1.931980783
1.897471,907000,202,0,0,0,2.0060246273
1.994585,907051,202,2,8.9210509035,0,3.4323658044
2.828964,908130,202,0,0,0,1.9667921549
1.305135,909735,202,0,0,14.449119202,1.9784991522
2.192499,910691,202,0,0,0,2.2577327546
1.757102,910781,202,1,4.8081334031,5.5312781323,2.1709069768
3.160199,924187,202,1,4.7143561173,0,2.6533508085
1.926608,1240127,202,2,8.7835949774,0,3.6815714119
1.927852,1240174,202,1,4.2286055327,0,1.931980783
3.455613,907000,203,0,0,0,2.0060246273
4.640372,907051,203,2,8.9210509035,0,3.4323658044
3.860071,908130,203,0,0,0,1.9667921549
3.114174,909735,203,0,0,14.449119202,1.9784991522
1.373842,910691,203,0,0,0,2.2577327546
3.513632,910781,203,1,4.8081334031,5.5312781323,2.1709069768
3.484832,924187,203,1,4.7143561173,0,2.6533508085
3.843432,930082,203,0,0,6.9632637271,2.0219194553
3.390898,1240127,203,2,8.7835949774,0,3.6815714119
3.084318,1240174,203,1,4.2286055327,0,1.931980783
3.580101,907000,206,0,0,0,2.0060246273
4.253708,907051,206,2,8.9210509035,0,3.4323658044
4.410588,908130,206,0,0,0,1.9667921549
3.887128,909735,206,0,0,14.449119202,1.9784991522
3.892692,910691,206,0,0,0,2.2577327546
4.40538,910781,206,1,4.8081334031,5.5312781323,2.1709069768
4.928416,924187,206,1,4.7143561173,0,2.6533508085
4.251837,930082,206,0,0,6.9632637271,2.0219194553
4.502783,1240127,206,2,8.7835949774,0,3.6815714119
4.220369,1240174,206,1,4.2286055327,0,1.931980783
1.568376,907000,207,0,0,0,2.0060246273
2.391898,907051,207,2,8.9210509035,0,3.4323658044
1.348149,908130,207,0,0,0,1.9667921549
-0.026982,909735,207,0,0,14.449119202,1.9784991522
2.082054,910691,207,0,0,0,2.2577327546
0.7413,910781,207,1,4.8081334031,5.5312781323,2.1709069768
1.198869,924187,207,1,4.7143561173,0,2.6533508085
2.939139,1240127,207,2,8.7835949774,0,3.6815714119
0.427281,1240174,207,1,4.2286055327,0,1.931980783
1.985186,907000,219,0,0,0,2.0060246273
3.435818,907051,219,2,8.9210509035,0,3.4323658044
2.671681,908130,219,0,0,0,1.9667921549
0.098677,909735,219,0,0,14.449119202,1.9784991522
-0.327454,910691,219,0,0,0,2.2577327546
1.5041,910781,219,1,4.8081334031,5.5312781323,2.1709069768
1.287798,924187,219,1,4.7143561173,0,2.6533508085
1.791262,930082,219,0,0,6.9632637271,2.0219194553
1.114412,1240127,219,2,8.7835949774,0,3.6815714119
1.927139,1240174,219,1,4.2286055327,0,1.931980783
4.252513,907000,221,0,0,0,2.0060246273
4.318194,907051,221,2,8.9210509035,0,3.4323658044
5.579243,908130,221,0,0,0,1.9667921549
3.483333,909735,221,0,0,14.449119202,1.9784991522
3.686949,910691,221,0,0,0,2.2577327546
4.380256,910781,221,1,4.8081334031,5.5312781323,2.1709069768
3.315643,924187,221,1,4.7143561173,0,2.6533508085
4.801916,930082,221,0,0,6.9632637271,2.0219194553
4.830319,1240127,221,2,8.7835949774,0,3.6815714119
4.552318,1240174,221,1,4.2286055327,0,1.931980783
2.404558,907000,222,0,0,0,2.0060246273
4.86719,907051,222,2,8.9210509035,0,3.4323658044
3.43236,908130,222,0,0,0,1.9667921549
1.718792,909735,222,0,0,14.449119202,1.9784991522
2.17102,910691,222,0,0,0,2.2577327546
2.845147,910781,222,1,4.8081334031,5.5312781323,2.1709069768
4.075419,924187,222,1,4.7143561173,0,2.6533508085
4.867969,930082,222,0,0,6.9632637271,2.0219194553
2.14656,1240127,222,2,8.7835949774,0,3.6815714119
3.551456,1240174,222,1,4.2286055327,0,1.931980783
1.528961,907000,226,0,0,0,2.0060246273
3.920185,907051,226,2,8.9210509035,0,3.4323658044
3.012055,908130,226,0,0,0,1.9667921549
0.558907,909735,226,0,0,14.449119202,1.9784991522
1.215302,910691,226,0,0,0,2.2577327546
1.65508,910781,226,1,4.8081334031,5.5312781323,2.1709069768
3.068815,924187,226,1,4.7143561173,0,2.6533508085
3.741473,930082,226,0,0,6.9632637271,2.0219194553
0.305095,1240127,226,2,8.7835949774,0,3.6815714119
3.810263,1240174,226,1,4.2286055327,0,1.931980783
3.544633,907000,229,0,0,0,2.0060246273
3.798958,907051,229,2,8.9210509035,0,3.4323658044
5.642667,908130,229,0,0,0,1.9667921549
0.598202,909735,229,0,0,14.449119202,1.9784991522
2.465927,910691,229,0,0,0,2.2577327546
4.78566,910781,229,1,4.8081334031,5.5312781323,2.1709069768
0.484718,924187,229,1,4.7143561173,0,2.6533508085
5.335571,930082,229,0,0,6.9632637271,2.0219194553
5.718738,1240127,229,2,8.7835949774,0,3.6815714119
4.360269,1240174,229,1,4.2286055327,0,1.931980783
3.463121,907000,230,0,0,0,2.0060246273
5.603893,907051,230,2,8.9210509035,0,3.4323658044
5.591403,908130,230,0,0,0,1.9667921549
4.045238,909735,230,0,0,14.449119202,1.9784991522
5.004061,910691,230,0,0,0,2.2577327546
4.836005,910781,230,1,4.8081334031,5.5312781323,2.1709069768
6.685617,924187,230,1,4.7143561173,0,2.6533508085
5.155092,930082,230,0,0,6.9632637271,2.0219194553
4.235562,1240127,230,2,8.7835949774,0,3.6815714119
5.406282,1240174,230,1,4.2286055327,0,1.931980783
5.568216,907051,231,2,8.9210509035,0,3.4323658044
1.785458,909735,231,0,0,14.449119202,1.9784991522
5.403949,910691,231,0,0,0,2.2577327546
6.135192,924187,231,1,4.7143561173,0,2.6533508085
5.595163,930082,231,0,0,6.9632637271,2.0219194553
6.287667,1240127,231,2,8.7835949774,0,3.6815714119
5.551568,1240174,231,1,4.2286055327,0,1.931980783
1.185533,907000,235,0,0,0,2.0060246273
2.982232,907051,235,2,8.9210509035,0,3.4323658044
2.323982,908130,235,0,0,0,1.9667921549
-0.636674,909735,235,0,0,14.449119202,1.9784991522
-0.369458,910691,235,0,0,0,2.2577327546
1.22872,910781,235,1,4.8081334031,5.5312781323,2.1709069768
1.191894,924187,235,1,4.7143561173,0,2.6533508085
3.705922,930082,235,0,0,6.9632637271,2.0219194553
2.910132,1240127,235,2,8.7835949774,0,3.6815714119
4.676974,1240174,235,1,4.2286055327,0,1.931980783
3.890188,907000,249,0,0,0,2.0060246273
4.241316,907051,249,2,8.9210509035,0,3.4323658044
2.888055,908130,249,0,0,0,1.9667921549
1.780634,909735,249,0,0,14.449119202,1.9784991522
3.076362,910691,249,0,0,0,2.2577327546
1.702814,910781,249,1,4.8081334031,5.5312781323,2.1709069768
3.577323,924187,249,1,4.7143561173,0,2.6533508085
1.619014,930082,249,0,0,6.9632637271,2.0219194553
2.464297,1240127,249,2,8.7835949774,0,3.6815714119
3.87329,1240174,249,1,4.2286055327,0,1.931980783
0.457914,907000,252,0,0,0,2.0060246273
2.962606,907051,252,2,8.9210509035,0,3.4323658044
0.618645,908130,252,0,0,0,1.9667921549
-0.521955,909735,252,0,0,14.449119202,1.9784991522
-1.746574,910691,252,0,0,0,2.2577327546
-1.324135,910781,252,1,4.8081334031,5.5312781323,2.1709069768
1.080414,924187,252,1,4.7143561173,0,2.6533508085
0.502095,930082,252,0,0,6.9632637271,2.0219194553
-0.689974,1240127,252,2,8.7835949774,0,3.6815714119
0.25018,1240174,252,1,4.2286055327,0,1.931980783
4.233414,907000,253,0,0,0,2.0060246273
4.855913,907051,253,2,8.9210509035,0,3.4323658044
5.090762,908130,253,0,0,0,1.9667921549
3.25249,909735,253,0,0,14.449119202,1.9784991522
5.298311,910691,253,0,0,0,2.2577327546
4.731875,910781,253,1,4.8081334031,5.5312781323,2.1709069768
6.177142,924187,253,1,4.7143561173,0,2.6533508085
4.577166,930082,253,0,0,6.9632637271,2.0219194553
5.082703,1240127,253,2,8.7835949774,0,3.6815714119
